S_CODE,S_CITY,E_CODE,E_CITY,COUPON,NEW,VACATION,SW,HI,S_INCOME,E_INCOME,S_POP,E_POP,SLOT,GATE,DISTANCE,PAX,FARE
*,Albuquerque NM,*,Dallas/Fort Worth TX,1.02,3,No,1,0.52223,22089,28637,668159,3036732,0,Free,573,10941,84.46
*,Albuquerque NM,*,Las Vegas NV,1.08,0,Yes,1,0.764173,22089,24575,668159,1197234,0,Free,479,7170,72.43
*,Albuquerque NM,*,Los Angeles CA,1.09,3,No,1,0.493572,22089,24706,668159,9056076,0,Free,673,11980,76.79
*,Albuquerque NM,EWR,New York/Newark NY,1.92,3,No,0,0.194017,22089,32991,668159,8621121,0,Constrained,1822,4002,208.79
*,Albuquerque NM,JFK,New York/Newark NY,1.92,3,No,0,0.194017,22089,32991,668159,8621121,1,Free,1822,4002,208.79
*,Albuquerque NM,LGA,New York/Newark NY,1.92,3,No,0,0.194017,22089,32991,668159,8621121,1,free,1822,4002,208.79
*,Albuquerque NM,*,Phoenix AZ,1,3,No,1,0.636224,22089,23025,668159,2753373,0,Free,327,13947,57.05
*,Albuquerque NM,DCA,Washington DC,1.89,3,No,0,0.222574,22089,31981,668159,4549784,1,free,1643,3740,215.57
*,Albuquerque NM,IAD,Washington DC,1.89,3,No,0,0.222574,22089,31981,668159,4549784,0,free,1643,3740,215.57
*,Anchorage AK,*,Seattle/Tacoma WA,1.02,3,No,0,0.637259,28690,30916,249642,2230831,0,Free,1443,14474,142.83
*,Atlanta GA,*,Baltimore/Wash Intl MD,1.06,3,No,0,0.541916,26993,29838,3532657,7145897,0,free,576,8820,174.47
*,Atlanta GA,*,Boston MA,1.25,3,No,0,0.573634,26993,30124,3532657,5787293,0,Free,939,14005,210
*,Atlanta GA,*,Charlotte NC,1.01,3,No,0,0.443592,26993,25237,3532657,1318892,0,Constrained,227,7335,97.96
*,Atlanta GA,MDW,Chicago IL,1.04,3,No,0,0.271237,26993,29260,3532657,7830332,0,Free,595,30877,106.6
*,Atlanta GA,ORD,Chicago IL,1.04,3,No,0,0.271237,26993,29260,3532657,7830332,1,free,595,30877,106.6
*,Atlanta GA,*,Cincinnati OH,1.16,3,No,0,0.935013,26993,25059,3532657,1595139,0,Constrained,371,3892,215.83
*,Atlanta GA,*,Cleveland OH,1.12,3,No,0,0.447887,26993,26046,3532657,2915745,0,Free,561,4821,197.1
*,Atlanta GA,*,Columbus OH,1.13,3,No,0,0.535651,26993,24502,3532657,1442203,0,Free,445,6075,113.2
*,Atlanta GA,*,Dallas/Fort Worth TX,1.05,3,No,0,0.46249,26993,28637,3532657,3036732,0,Free,734,23075,113.99
*,Atlanta GA,*,Denver CO,1.23,3,No,0,0.420266,26993,29055,3532657,1862106,0,Free,1200,7621,210.9
*,Atlanta GA,*,Detroit MI,1.05,3,No,0,0.431295,26993,26506,3532657,4459144,0,Constrained,600,12752,106.56
*,Atlanta GA,*,Fort Lauderdale FL,1.02,3,Yes,0,0.703227,26993,26752,3532657,1440377,0,Free,578,11425,105.1
*,Atlanta GA,*,Hartford CT,1.34,3,No,0,0.513741,26993,30268,3532657,1106780,0,Free,854,5806,175.81
*,Atlanta GA,*,Houston TX,1.19,3,No,0,0.44688,26993,27211,3532657,3770125,0,Free,701,7201,233.16
*,Atlanta GA,*,Indianapolis IN,1.12,3,No,0,0.518013,26993,25475,3532657,1489247,0,free,430,5378,109.78
*,Atlanta GA,*,Jacksonville FL,1,3,Yes,0,0.596375,26993,23614,3532657,1008768,0,free,280,8571,87.59
*,Atlanta GA,*,Kansas City MO,1.11,0,No,0,0.672201,26993,25450,3532657,1694803,0,free,685,6426,116.18
*,Atlanta GA,*,Las Vegas NV,1.44,3,Yes,0,0.411244,26993,24575,3532657,1197234,0,Free,1744,7881,143.62
*,Atlanta GA,*,Los Angeles CA,1.38,3,No,0,0.546598,26993,24706,3532657,9056076,0,Free,1946,13365,225.56
*,Atlanta GA,*,Louisville KY,1.04,3,No,0,0.545085,26993,24307,3532657,989164,0,free,320,4562,101.68
*,Atlanta GA,*,Memphis TN,1.01,3,No,0,0.498883,26993,24725,3532657,1074558,0,Free,331,10255,70.62
*,Atlanta GA,*,Miami FL,1.01,1,Yes,0,0.434335,26993,21207,3532657,2105604,0,free,595,14119,97.93
*,Atlanta GA,*,Minneapolis/St Paul MN,1.17,3,No,0,0.431766,26993,28739,3532657,2761118,0,Constrained,904,5578,269.43
*,Atlanta GA,*,New Orleans LA,1.02,3,No,0,0.626975,26993,22038,3532657,1308499,0,Free,419,7796,120.7
*,Atlanta GA,EWR,New York/Newark NY,1.06,3,No,0,0.459338,26993,32991,3532657,8621121,0,Constrained,756,48642,162.28
*,Atlanta GA,JFK,New York/Newark NY,1.06,3,No,0,0.459338,26993,32991,3532657,8621121,1,Free,756,48642,162.28
*,Atlanta GA,LGA,New York/Newark NY,1.06,3,No,0,0.459338,26993,32991,3532657,8621121,1,Free,756,48642,162.28
*,Atlanta GA,*,Orlando FL,1.01,3,Yes,0,0.458103,26993,22360,3532657,1421287,0,Free,404,18673,92.78
*,Atlanta GA,*,Philadelphia/Camden PA,1.06,3,No,0,0.424847,26993,27994,3532657,4948339,0,Free,674,16512,125.09
*,Atlanta GA,*,Phoenix AZ,1.25,3,No,0,0.427535,26993,23025,3532657,2753373,0,Free,1591,5944,200.09
*,Atlanta GA,*,Pittsburgh PA,1.04,3,No,0,0.421501,26993,25054,3532657,2374260,0,Constrained,525,7664,93.55
*,Atlanta GA,*,Raleigh/Durham NC,1.03,3,No,0,0.704611,26993,26101,3532657,1021830,0,free,356,9307,123.44
*,Atlanta GA,*,Salt Lake City UT,1.46,3,No,0,0.674912,26993,21121,3532657,1228816,0,free,1588,4644,179.13
*,Atlanta GA,*,San Diego CA,1.44,3,No,0,0.501188,26993,23903,3532657,2673620,0,free,1886,4445,204.35
*,Atlanta GA,*,San Francisco CA,1.36,3,No,0,0.54926,26993,38813,3532657,1653017,0,free,2137,10112,248.49
*,Atlanta GA,*,Seattle/Tacoma WA,1.47,3,No,0,0.509058,26993,30916,3532657,2230831,0,free,2182,6124,200.2
*,Atlanta GA,*,St Louis MO,1.07,3,No,0,0.4636,26993,25824,3532657,2549844,0,Free,471,5303,199.8
*,Atlanta GA,*,Tampa FL,1.01,3,Yes,0,0.489184,26993,23654,3532657,2195215,0,Free,414,17437,87.35
*,Atlanta GA,DCA,Washington DC,1.12,3,No,0,0.633403,26993,31981,3532657,4549784,1,free,539,23531,166.67
*,Atlanta GA,IAD,Washington DC,1.12,3,No,0,0.633403,26993,31981,3532657,4549784,0,Free,539,23531,166.67
*,Atlanta GA,*,West Palm Beach FL,1.01,3,Yes,0,0.601766,26993,37375,3532657,991717,0,Free,546,7788,104.11
*,Austin TX,MDW,Chicago IL,1.25,3,No,1,0.441716,23665,29260,1038660,7830332,0,Free,974,4980,136.27
*,Austin TX,ORD,Chicago IL,1.25,3,No,1,0.441716,23665,29260,1038660,7830332,1,free,974,4980,136.27
*,Austin TX,*,Dallas/Fort Worth TX,1,3,No,1,0.550233,23665,28637,1038660,3036732,0,Free,184,18843,67.17
*,Austin TX,*,Houston TX,1,3,No,1,0.626939,23665,27211,1038660,3770125,0,free,138,9874,67.1
*,Austin TX,*,Las Vegas NV,1.35,3,Yes,1,0.375725,23665,24575,1038660,1197234,0,Free,1087,5738,80.31
*,Austin TX,EWR,New York/Newark NY,1.69,3,No,0,0.344763,23665,32991,1038660,8621121,0,Constrained,1515,3802,287.23
*,Austin TX,JFK,New York/Newark NY,1.69,3,No,0,0.344763,23665,32991,1038660,8621121,1,Free,1515,3802,287.23
*,Austin TX,LGA,New York/Newark NY,1.69,3,No,0,0.344763,23665,32991,1038660,8621121,1,Free,1515,3802,287.23
*,Austin TX,*,Phoenix AZ,1.1,3,No,1,0.425209,23665,23025,1038660,2753373,0,Free,876,4511,105.41
*,Austin TX,*,San Jose CA,1.17,3,No,1,0.726265,23665,34880,1038660,1594251,0,free,1473,4071,200.41
*,Baltimore/Wash Intl MD,*,Louisville KY,1.13,3,No,1,0.465518,29838,24307,29838,989164,0,free,495,6218,60.26
*,Baltimore/Wash Intl MD,*,Providence RI,1.11,2,No,0,0.912966,29838,24205,29838,905329,0,free,328,1504,176.88
*,Boise ID,*,Portland OR,1.01,1,No,1,0.431592,23901,26409,372606,249561,0,free,344,5899,66.88
*,Boston MA,*,Baltimore/Wash Intl MD,1.06,3,No,0,0.918528,30124,29838,5787293,7145897,0,Free,364,6452,207.76
*,Boston MA,*,Charlotte NC,1.25,3,No,0,0.858917,30124,25237,5787293,1318892,0,Constrained,722,3263,237.8
*,Boston MA,MDW,Chicago IL,1.15,3,No,0,0.397723,30124,29260,5787293,7830332,0,Free,854,20718,230.87
*,Boston MA,ORD,Chicago IL,1.15,1,No,0,0.397723,30124,29260,5787293,7830332,1,free,854,20718,230.87
*,Boston MA,*,Columbus OH,1.22,3,No,0,0.378964,30124,24502,5787293,1442203,0,free,633,4758,143.59
*,Boston MA,*,Dallas/Fort Worth TX,1.19,3,No,0,0.560506,30124,28637,5787293,3036732,0,Free,1559,8756,320.37
*,Boston MA,*,Denver CO,1.35,3,No,0,0.614091,30124,29055,5787293,1862106,0,Free,1755,5820,311.46
*,Boston MA,*,Detroit MI,1.06,3,No,0,0.816277,30124,26506,5787293,4459144,0,Constrained,616,10358,110.42
*,Boston MA,*,Fort Lauderdale FL,1.27,3,Yes,0,0.268254,30124,26752,5787293,1440377,0,free,1229,10483,121.09
*,Boston MA,*,Fort Meyers FL,1.47,3,Yes,0,0.256552,30124,26752,5787293,379566,0,free,1245,6390,126.62
*,Boston MA,*,Houston TX,1.41,3,No,0,0.549726,30124,27211,5787293,3770125,0,free,1605,4272,349.97
*,Boston MA,*,Las Vegas NV,1.49,3,Yes,0,0.183395,30124,24575,5787293,1197234,0,free,2372,10235,133.35
*,Boston MA,*,Los Angeles CA,1.35,3,No,0,0.290244,30124,24706,5787293,9056076,0,free,2605,14737,301.79
*,Boston MA,*,Miami FL,1.24,3,Yes,0,0.413335,30124,21207,5787293,2105604,0,Free,1259,7322,158.5
*,Boston MA,*,Minneapolis/St Paul MN,1.18,3,No,0,0.770288,30124,28739,5787293,2761118,0,Constrained,1114,7276,258.85
*,Boston MA,EWR,New York/Newark NY,1,3,No,0,0.285033,30124,32991,5787293,8621121,0,Constrained,183,66820,116.78
*,Boston MA,JFK,New York/Newark NY,1,3,No,0,0.285033,30124,32991,5787293,8621121,1,Free,183,66820,116.78
*,Boston MA,LGA,New York/Newark NY,1,3,No,0,0.285033,30124,32991,5787293,8621121,1,Free,183,66820,116.78
*,Boston MA,*,Orlando FL,1.24,3,Yes,0,0.312335,30124,22360,5787293,1421287,0,Free,1119,23222,117.97
*,Boston MA,*,Philadelphia/Camden PA,1.02,0,No,0,0.964901,30124,27994,5787293,4948339,0,Free,265,17196,138.56
*,Boston MA,*,Phoenix AZ,1.7,3,No,0,0.17109,30124,23025,5787293,2753373,0,Free,2295,7130,197.42
*,Boston MA,*,Pittsburgh PA,1.1,3,No,0,0.917483,30124,25054,5787293,2374260,0,Constrained,483,5539,186.28
*,Boston MA,*,Raleigh/Durham NC,1.26,3,No,0,0.454283,30124,26101,5787293,1021830,0,Free,606,5598,140.07
*,Boston MA,*,San Diego CA,1.94,3,No,0,0.18883,30124,23903,5787293,2673620,0,Free,2576,3987,291.51
*,Boston MA,*,San Francisco CA,1.39,3,No,0,0.555943,30124,38813,5787293,1653017,0,free,2694,16050,367.72
*,Boston MA,*,San Jose CA,1.53,3,No,0,0.515547,30124,34880,5787293,1594251,0,Free,2682,3677,402.02
*,Boston MA,*,Seattle/Tacoma WA,1.59,3,No,0,0.270503,30124,30916,5787293,2230831,0,free,2489,4560,297.61
*,Boston MA,*,Tampa FL,1.27,3,Yes,0,0.298262,30124,23654,5787293,2195215,0,free,1183,10673,124.82
*,Boston MA,DCA,Washington DC,1.04,3,No,0,0.548329,30124,31981,5787293,4549784,1,free,400,37715,132.79
*,Boston MA,IAD,Washington DC,1.04,3,No,0,0.548329,30124,31981,5787293,4549784,0,free,400,37715,132.79
*,Boston MA,*,West Palm Beach FL,1.32,3,Yes,0,0.477166,30124,37375,5787293,991717,0,free,1193,8170,127.83
*,Burbank CA,*,Las Vegas NV,1,3,Yes,1,0.959299,24706,24575,9056076,1197234,0,free,226,16845,52.92
*,Burbank CA,*,Oakland CA,1,3,No,1,0.879573,24706,29846,9056076,2237227,0,Free,325,23041,56.43
*,Burbank CA,*,Phoenix AZ,1,3,No,1,0.526672,24706,23025,9056076,2753373,0,free,363,10529,57.33
*,Burbank CA,*,Sacramento CA,1.01,3,No,1,0.981956,24706,24236,9056076,1481076,0,Free,349,15444,52.53
*,Burbank CA,*,San Francisco CA,1,3,No,0,0.997849,24706,38813,9056076,1653017,0,free,332,14363,83.74
*,Burbank CA,*,San Jose CA,1,3,No,1,0.998632,24706,34880,9056076,1594251,0,Free,296,10770,59.8
*,Burbank CA,*,Seattle/Tacoma WA,1.11,3,No,1,0.603976,24706,30916,9056076,2230831,0,Free,943,5638,97.46
MDW,Chicago IL,*,Baltimore/Wash Intl MD,1.06,3,No,1,0.265735,29260,29838,7830332,7145897,0,free,612,25144,85.47
ORD,Chicago IL,*,Baltimore/Wash Intl MD,1.06,3,No,1,0.265735,29260,29838,7830332,7145897,1,Free,612,25144,85.47
MDW,Chicago IL,*,Birmingham AL,1.16,3,No,1,0.362746,29260,23858,7830332,895414,0,Free,576,4138,113.5
ORD,Chicago IL,*,Birmingham AL,1.16,3,No,1,0.362746,29260,23858,7830332,895414,1,Free,576,4138,113.5
MDW,Chicago IL,*,Charlotte NC,1.16,3,No,0,0.452331,29260,25237,7830332,1318892,0,Constrained,589,5153,234.15
ORD,Chicago IL,*,Charlotte NC,1.16,3,No,0,0.452331,29260,25237,7830332,1318892,1,Constrained,589,5153,234.15
MDW,Chicago IL,*,Cleveland OH,1.01,1,No,1,0.280091,29260,26046,7830332,2915745,0,Free,316,24405,69.1
ORD,Chicago IL,*,Cleveland OH,1.01,3,No,1,0.280091,29260,26046,7830332,2915745,1,free,316,24405,69.1
MDW,Chicago IL,*,Columbus OH,1.01,0,No,1,0.26682,29260,24502,7830332,1442203,0,free,286,14516,75.07
ORD,Chicago IL,*,Columbus OH,1.01,3,No,1,0.26682,29260,24502,7830332,1442203,1,free,286,14516,75.07
MDW,Chicago IL,*,Dallas/Fort Worth TX,1.14,3,No,0,0.620597,29260,28637,7830332,3036732,0,Free,805,20264,244.5
ORD,Chicago IL,*,Dallas/Fort Worth TX,1.14,3,No,0,0.620597,29260,28637,7830332,3036732,1,free,805,20264,244.5
MDW,Chicago IL,*,Denver CO,1.08,3,No,0,0.579228,29260,29055,7830332,1862106,0,Free,902,16263,174.06
ORD,Chicago IL,*,Denver CO,1.08,3,No,0,0.579228,29260,29055,7830332,1862106,1,Free,902,16263,174.06
MDW,Chicago IL,*,Detroit MI,1,3,No,1,0.305978,29260,26506,7830332,4459144,0,Constrained,237,34113,74.28
ORD,Chicago IL,*,Detroit MI,1,3,No,1,0.305978,29260,26506,7830332,4459144,1,Constrained,237,34113,74.28
MDW,Chicago IL,*,Fort Lauderdale FL,1.15,3,Yes,1,0.248276,29260,26752,7830332,1440377,0,free,1168,10117,153.95
ORD,Chicago IL,*,Fort Lauderdale FL,1.15,3,Yes,1,0.248276,29260,26752,7830332,1440377,1,free,1168,10117,153.95
MDW,Chicago IL,*,Fort Meyers FL,1.2,3,Yes,0,0.324731,29260,26752,7830332,379566,0,free,1108,7196,136.68
ORD,Chicago IL,*,Fort Meyers FL,1.2,3,Yes,0,0.324731,29260,26752,7830332,379566,1,Free,1108,7196,136.68
MDW,Chicago IL,*,Hartford CT,1.13,3,No,0,0.414613,29260,30268,7830332,1106780,0,free,779,6614,240.88
ORD,Chicago IL,*,Hartford CT,1.13,3,No,0,0.414613,29260,30268,7830332,1106780,1,Free,779,6614,240.88
MDW,Chicago IL,*,Houston TX,1.09,3,No,1,0.257242,29260,27211,7830332,3770125,0,Free,939,16868,139.56
ORD,Chicago IL,*,Houston TX,1.09,3,No,1,0.257242,29260,27211,7830332,3770125,1,free,939,16868,139.56
MDW,Chicago IL,*,Indianapolis IN,1,0,No,1,0.370218,29260,25475,7830332,1489247,0,free,167,9355,62.63
ORD,Chicago IL,*,Indianapolis IN,1,3,No,1,0.370218,29260,25475,7830332,1489247,1,free,167,9355,62.63
MDW,Chicago IL,*,Jacksonville FL,1.45,3,Yes,0,0.319881,29260,23614,7830332,1008768,0,free,865,3789,158.63
ORD,Chicago IL,*,Jacksonville FL,1.45,3,Yes,0,0.319881,29260,23614,7830332,1008768,1,free,865,3789,158.63
MDW,Chicago IL,*,Kansas City MO,1.04,0,No,1,0.329605,29260,25450,7830332,1694803,0,Free,407,20529,75.71
ORD,Chicago IL,*,Kansas City MO,1.04,3,No,1,0.329605,29260,25450,7830332,1694803,1,Free,407,20529,75.71
MDW,Chicago IL,*,Las Vegas NV,1.15,3,Yes,1,0.204421,29260,24575,7830332,1197234,0,free,1519,23739,123.74
ORD,Chicago IL,*,Las Vegas NV,1.15,3,Yes,1,0.204421,29260,24575,7830332,1197234,1,free,1519,23739,123.74
MDW,Chicago IL,*,Los Angeles CA,1.19,3,No,0,0.341342,29260,24706,7830332,9056076,0,free,1751,29771,233.78
ORD,Chicago IL,*,Los Angeles CA,1.19,3,No,0,0.341342,29260,24706,7830332,9056076,1,free,1751,29771,233.78
MDW,Chicago IL,*,Louisville KY,1.02,3,No,1,0.410987,29260,24307,7830332,989164,0,Free,276,8793,68.06
ORD,Chicago IL,*,Louisville KY,1.02,3,No,1,0.410987,29260,24307,7830332,989164,1,Free,276,8793,68.06
MDW,Chicago IL,*,Miami FL,1.15,0,Yes,0,0.394724,29260,21207,7830332,2105604,0,Free,1187,10671,168.92
ORD,Chicago IL,*,Miami FL,1.15,3,Yes,0,0.394724,29260,21207,7830332,2105604,1,Free,1187,10671,168.92
MDW,Chicago IL,*,Minneapolis/St Paul MN,1.01,3,No,0,0.391117,29260,28739,7830332,2761118,0,Constrained,342,29137,156.93
ORD,Chicago IL,*,Minneapolis/St Paul MN,1.01,3,No,0,0.391117,29260,28739,7830332,2761118,1,Constrained,342,29137,156.93
MDW,Chicago IL,*,Nashville TN,1.02,3,No,1,0.346396,29260,25995,7830332,1115048,0,free,401,10902,84.21
ORD,Chicago IL,*,Nashville TN,1.02,3,No,1,0.346396,29260,25995,7830332,1115048,1,free,401,10902,84.21
MDW,Chicago IL,*,New Orleans LA,1.2,3,No,1,0.262101,29260,22038,7830332,1308499,0,free,829,8356,132.85
ORD,Chicago IL,*,New Orleans LA,1.2,3,No,1,0.262101,29260,22038,7830332,1308499,1,Free,829,8356,132.85
MDW,Chicago IL,EWR,New York/Newark NY,1.05,3,No,0,0.33169,29260,32991,7830332,8621121,0,Constrained,723,73892,159.71
ORD,Chicago IL,EWR,New York/Newark NY,1.05,3,No,0,0.33169,29260,32991,7830332,8621121,1,Constrained,723,73892,159.71
MDW,Chicago IL,JFK,New York/Newark NY,1.05,3,No,0,0.33169,29260,32991,7830332,8621121,1,Free,723,73892,159.71
ORD,Chicago IL,JFK,New York/Newark NY,1.05,3,No,0,0.33169,29260,32991,7830332,8621121,1,Free,723,73892,159.71
MDW,Chicago IL,LGA,New York/Newark NY,1.05,3,No,0,0.33169,29260,32991,7830332,8621121,1,free,723,73892,159.71
ORD,Chicago IL,LGA,New York/Newark NY,1.05,3,No,0,0.33169,29260,32991,7830332,8621121,1,Free,723,73892,159.71
MDW,Chicago IL,*,Omaha NE,1.02,3,No,1,0.523032,29260,25127,7830332,679984,0,free,428,8724,67.77
ORD,Chicago IL,*,Omaha NE,1.02,3,No,1,0.523032,29260,25127,7830332,679984,1,Free,428,8724,67.77
MDW,Chicago IL,*,Orlando FL,1.09,3,Yes,1,0.185353,29260,22360,7830332,1421287,0,free,995,26034,121.67
ORD,Chicago IL,*,Orlando FL,1.09,3,Yes,1,0.185353,29260,22360,7830332,1421287,1,Free,995,26034,121.67
MDW,Chicago IL,*,Philadelphia/Camden PA,1.08,3,No,0,0.37486,29260,27994,7830332,4948339,0,Free,673,16559,215.06
ORD,Chicago IL,*,Philadelphia/Camden PA,1.08,3,No,0,0.37486,29260,27994,7830332,4948339,1,free,673,16559,215.06
MDW,Chicago IL,*,Phoenix AZ,1.11,3,No,1,0.229785,29260,23025,7830332,2753373,0,Free,1446,23009,152.1
ORD,Chicago IL,*,Phoenix AZ,1.11,3,No,1,0.229785,29260,23025,7830332,2753373,1,free,1446,23009,152.1
MDW,Chicago IL,*,Pittsburgh PA,1.05,3,No,0,0.494728,29260,25054,7830332,2374260,0,Constrained,412,6585,208.86
ORD,Chicago IL,*,Pittsburgh PA,1.05,3,No,0,0.494728,29260,25054,7830332,2374260,1,Constrained,412,6585,208.86
MDW,Chicago IL,*,Portland OR,1.34,3,No,0,0.440942,29260,26409,7830332,249561,0,Free,1749,5025,279.61
ORD,Chicago IL,*,Portland OR,1.34,3,No,0,0.440942,29260,26409,7830332,249561,1,free,1749,5025,279.61
